,id,standard_spelling_isv,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
12,24492,banan,banan,,m.,1,banana,v z j,I,банан,банан,банан,banan,banán,banán,banana,banana,банана,банана,банан,!,Banane,banaan,banano,6238,!,
13,24508,bankir,bankir,,m.anim.,1,banker,v z j,I,банкир,банкір,банкір,bankier,bankéř,bankár,bankir,bankar,банкар,банкар,банкер,!,Banker,bankier,!bankisto,5651,!,
14,1846,basnj,basnj,,f.,1,fairytale,,,"сказка, байка, басня","казка, байка, паданне","байка, казка",baśń,pohádka,rozprávka,basen,basna,"басна, бајка, приповетка",басна,"приказка, басня",!,Fabel,sprookje,!fairytale,3445,!,
15,19493,Berlin,Berlin,,m.sg.,1,Berlin,v z j,,Берлин,Берлін,Берлін,Berlin,Berlín,Berlín,Berlin,Berlin,Берлин,Берлин,Берлин,!,Berlin,Berlijn,Berlino,6848,!,
16,1721,beton,beton,,m.sg.,1,concrete,,,бетон,бетон,бетон,beton,beton,betón,beton,beton,бетон,бетон,бетон,!,Beton,beton,betono,6495,!,
17,3975,biolog,biolog,,m.anim.,1,biologist,,I,биолог,біёлаг,біолог,biolog,biolog,biológ,biolog,biolog,биолог,биолог,биолог,!,Biologe,bioloog,!biologo,5129,!,
18,201,boljnica,boljnica,,f.,1,hospital,,,больница,бальніца,лікарня,szpital,nemocnice,nemocnica,bolnišnica,bolnica,болница,болница,болница,!,Krankenhaus,ziekenhuis,!malsanulejo,7329,!,
19,23522,Bratislava,Bratislava,,f.sg.,1,Bratislava,,,Братислава,Браціслава,Братислава,Bratysława,Bratislava,Bratislava,Bratislava,Bratislava,Братислава,Братислава,Братислава,!,Bratislava,Bratislava,!Bratislavo,5299,!,
20,2473,Brazilija,Brazilija,,f.sg.,1,Brazil,,,Бразилия,Бразілія,Бразилія,Brazylia,Brazílie,Brazília,Brazilija,Brazil,Бразил,Бразил,Бразилия,!,Brasilien,Brazilië,!Brazilo,6700,!,
21,24831,Brno,Brno,,n.sg.,1,Brno,,,Брно,Брно,Брно,Brno,Brno,Brno,Brno,Brno,Брно,Брно,Бърно,!,Brünn,Brno,!Brno,3817,!,
22,17177,buba,buba,,f.,2,bug,j,,жук,жук,жук,"żuk, chrzązcz, robak",brouk,chrobák,!hrošč,kukac,буба,бубачка,"буба, гадина, гадинка",!,Fehler,"kever, tor",!bug,4555,!,
23,33328,bublina,bųblina,,f.,2,bubble,be~ z,,пузырь,"бурбалка, пузыр",бульбашка,bąbel,bublina,bublina,mehurček,"balon, mjehur, bubla (arh.)","мехур, бубла (арх.)",меур,мехур,!,Blase,"bubbel, bel",!bobelo,4618,!,
24,6265,cirk,cirk,,m.,1,circus,,I,цирк,цырк,цирк,cyrk,cirkus,cirkus,cirkus,cirkus,циркус,циркус,цирк,!,Zirkus,circus,cirko,6278,!,
25,22748,čudžezemec,#ćuđezemėc,,m.anim.,2,foreigner,,,"иностранец, чужеземец","чужаземец, іншаземец, замежнік",іноземець,"cudzoziemiec, obcokrajowiec",cizinec,cudzinec,tujec,"stranac, tuđinac","туђин, странац",странец,"чужденец, чуждоземец",!,Ausländer,buitenlander,!fremdulo,4111,!,
26,1182,čudžinec,#ćuđinėc,,m.anim.,1,foreigner,,,иностранец,"іншаземец, чужынец","чужинець, іноземець","cudzoziemiec, obcy",cizinec,cudzinec,tujec,"stranac, tuđinac","странац, туђин",туѓинец,чужденец,!,Ausländer,buitenlander,!fremdulo,4644,!,
27,2243,cukr,cukr,,m.sg.,1,sugar,,,сахар,цукар,цукор,cukier,cukr,cukor,sladkor,šećer,шећер,шеќер,захар,!,Zucker,suiker,!sukero,6832,!,
28,4831,čaroděj,čaroděj,,m.anim.,1,sorcerer,,,"волшебник, чародей, колдун, маг","чараўнік, чарадзей, вядзьмак, маг","чародій, чарівник, чаклун",czarodziej,čaroděj,čarodejník,čarovnik,čarobnjak,"чаробњак, врач, чаробник","волшебник, магионичар","магьосник, чародей",!,"Zauberer, Magier",tovenaar,!sorĉisto,4300,!,
29,24942,čedo,čędo,,n.,4,child,,,"ребёнок, чадо","дзіця, дзіцяня, дзіцё, дзіцянё",дитина,dziecko,dítě,dieťa,otrok,"dijete, čedo","чедо, дете","дете, чедо","дете, чедо (малко ост.)","дѣ́тище, ча́до, чѧдо, отъдоѥноѥ",Kind,kind,!infano,6641,!,
30,4730,Čeh,Čeh,,m.anim.,1,Czech,,,чех,чэх,чех,Czech,Čech,Čech,Čeh,Čeh,Чех,Чех,чех,!,tschechisch,Tsjech,!ĉeĥa,5341,!,
31,2356,čerešnja,čerešnja,,f.,1,cherry (sweet),v z j,,черешня,чарэшня,черешня,czereśnia,třešeň,čerešňa,češnja,trešnja,трешња,цреша,череша,!,Kirsche,kers,!ĉerizo (dolĉa),4786,!,
32,3499,čokolada,čokolada,,f.,1,chocolate,v z j,I,шоколад,"шакалад, чакалад",шоколад,czekolada,čokoláda,čokoláda,čokolada,čokolada,чоколада,чоколада,шоколад,!,Schokolade,chocolade,!ĉokolado,6415,!,
33,5956,děvica,děvica,,f.,1,virgin,,,девственница,нявінніца,"дівиця, дівчина",dziewica,panna,panna,devica,djevica,девица,девица,"девица, девственица",!,Jungfrau,maagd,!virgulino,5564,!,
34,17253,diamant,diamant,,m.,1,diamond,,I,алмаз,"дыямент, алмаз, адамант","діамант, алмаз, брильянт","diament, brylant",diamant,diamant,diamant,dijamant,дијамант,дијамант,диамант,!,Diamant,diamant,!diamanto,5289,!,
35,32476,dinozavr,dinozavr,,m.anim.,1,dinosaur,,I,динозавр,дыназаўр,динозавр,dinozaur,dinosaurus,dinosaurus,dinozaver,dinosaur,диносаурус,диносаурус,динозавър,!,!Dinosaurier,dinosaurus,!dinosaŭro,4879,!,
36,1902,dožď,dȯžď,,m.,1,rain,,,дождь,дождж,дощ,deszcz,déšť,dážď,"!dež, dež (arch.)","kiša, dažd","киша, дажд (арх.)","дожд, врнеж",дъжд,!,Regen,regen,!pluvo,5594,!,
37,2137,drěvo,drěvo,(drěva/drěvese),n.,1,tree,,,дерево,дрэва,дерево,drzewo,strom,strom,drevo,drvo (stablo),дрво,дрво,дърво,дрѣво,!Baum,boom,!arbo,7406,!,
38,5292,drěvo,drěvo,(drěva/drěvese),n.,1,wood,,,"дерево, древесина","дрэва, драўніна","деревина, дерево",drewno,dřevo,drevo,!les Plank,drvo (materijal),"дрво, брвно","дрво, дрвен материјал, дрвенарија",дървен материал,!дрѣво,!Holz,hout,!ligno,5205,!,
39,451,dub,dųb,,m.,1,oak,,,дуб,дуб,дуб,dąb,dub,dub,"!hrast, dub",hrast,"храст, дуб",даб,дъб,доубъ,!Eiche,eik,!kverko,6174,!,
40,2929,dveri,dvėri,,f.pl.,1,door,,,"двери, дверь, ворота","дзверы, вароты","двері, ворота",drzwi,dveře,dvere,!vrata,"vrata, dveri",врата,"врата, порта","врата, порта, двери (арх.)",!,!Tür,deur,"pordo, pordego, pordeto",7010,!,
41,21286,džungla,džungla,,f.,1,jungle,,I,джунгли,джунглі,джунглі,dżungla,džungle,džungľa,!jungle,"džungla, prašuma",џунгла,џунгла,джунгла,!,Dschungel,jungle,!ĝangalon,4230,!,
42,418,film,film,,m.,1,"film, movie",,I,фильм,"фільм, кіно","фільм, кіно",film,film,film,film,film,филм,филм,филм,!,Film,film,"!filmo, filmo",8644,!,
43,2526,filozof,filozof,,m.anim.,1,philosopher,,I,философ,філосаф,філософ,filozof,filozof,filozof,filozof,filozof,филозоф,филозоф,философ,!,Philosoph,filosoof,!filozofo,6282,!,
44,23434,flejta,flejta,,f.,1,flute,,I,флейта,флейта,флейта,flet,flétna,flauta,!flavta,flauta,флаута,флејта,флейта,!,Flöte,fluit,!fluto,5474,!,
45,1188,Francija,Francija,,f.sg.,1,France,,,Франция,Францыя,Франція,Francja,Francie,Francúzsko,!France,Francuska,Француска,Франција,Франция,!,Frankreich,Frankrijk,!Francio,7632,!,
46,1990,gaz,gaz,,m.,1,gas,,,газ,газ,газ,gaz,plyn,plyn,!plin,"plin, gas",гас,гас,газ,!,Gas,gas,!gaso,8036,!,
47,23444,gitara,gitara,,f.,1,guitar,,I,гитара,гітара,гітара,gitara,kytara,gitara,!kitara,gitara,гитара,гитара,китара,!,Gitarre,gitaar,!gitaro,6277,!,
48,2365,glas,glås,,m.,1,voice,,,голос,голас,голос,głos,hlas,hlas,!glas,glas,глас,"глас, звук",глас,!,Stimme,stem,!voĉo,8224,!,
49,40,glava,glåva,,f.,1,head,,,голова,галава,голова,głowa,hlava,hlava,!glava,glava,глава,глава,глава,!,"Haupt, Kopf",hoofd,!kapon,8015,!,
50,36126,gnom,gnom,,m.anim.,1,"dwarf, gnome",v z j,I,"гном, карлик","гном, карлік","гном, карлик","krasnolud, skrzat, gnom",trpaslík,trpaslík,"!dwarf, gnome",patuljak,"патуљак, гном",џуџе,"джудже, гном",!,"Zwerg, Gnom","dwerg, kabouter, gnoom","!nano, gnome",3897,!,
51,1429,gora,gora,,f.,1,mountain,,,гора,гара,гора,góra,hora,hora,gora,"gora, planina","планина, гора","планина, гора",планина,!,Berg,berg,!monto,7476,!,
52,671,grad,gråd,,m.,1,town,,,город,"горад, места (саст.)",місто,miasto,město,mesto,!mesto,grad,град,град,град (населено място),градъ,Stadt,stad,!urbeto,8656,!,
53,17436,grafitka,grafitka,,f.,1,lead pencil,,I,"простой карандаш, графитовый карандаш","просты аловак, просты алавік",графітний олівець,ołówek grafitowy,tužka,"ceruzka, tuška",svinčnik,grafitna olovka,графитна оловка,графитен молив,молив,!,!Bleistift,potlood,!krajono,3230,!,
54,1920,grebenj,grebenj,,m.,1,comb,,,"расчёска, гребень","грэбень, грабянец, грабеньчык","гребінь, гребінець",grzebień,hřeben,hrebeň,!glavnik,ćešalj,чешаљ,чешел,гребен,!,Kamm,kam,!kombilo,4748,!,
55,2675,Grecija,Grėcija,,f.sg.,1,Greece,,,Греция,Грэцыя,Греція,Grecja,Řecko,grécko,Grčija,Grčka,Грчка,Грција,Гърция,!,Griechenland,Griekenland,!Grekio,7159,!,
56,673,grib,grib,,m.,1,mushroom,,,гриб,грыб,гриб,grzyb,houba,huba,goba,gljiva,"гљива, печурка","печурка, габа",гъба,!,!Pilz,paddenstoel,!fungo,5363,!,
57,5272,grn,grn,,m.,1,pot,,,"горшок, банка","гаршчок, чыгунок, слоік, пасудзіна, вазон, бляшанка",горщик,"garnek, słój, doniczka",hrnec,hrniec,!pot,lonac,лонац,"грне, тава, лонец, тенџере",гърне,!,Topf,pot,!poto,5579,!,
58,17442,grobišče,grobišče,,n.,1,"graveyard, cemetery",sl,,кладбище,"могілкі, могільнік, цвінтар","цвинтар, кладовище",cmentarz,hřbitov,cintorín,!pokopališče,groblje,гробље,гробишта,гробище,!,"!Friedhof, Friedhof","kerkhof, begraafplaats","!tombejo, tombejo",6595,!,
59,5281,guma,guma,,f.,1,rubber,,,резина,гума,гума,guma,guma,guma,!gumi,guma,гума,гума,гума,!,!Gummi,rubber,!kaŭĉuko,6145,!,
60,2574,gvozď,gvozď,,m.,1,nail,,,гвоздь,"цвік, гвозд","цвях, гвіздок",gwóźdź,hřebík,klinec,"!nohtov, klin. nohtov, Gvozd","klin, čavao","ексер, клин, чавао, гвозд","шајка, клинец, брут",гвоздей,!,Nagel,"spijker, nagel",!najlon,3614,!,
61,31874,hak,hak,,m.,2,hook,ub z,,крюк,"гак, крук",гак,hak,hák,hák,!kavelj,"kuka, kvaka",кука,кука,кука,!,!Haken,haak,!hoko,5892,!,
62,89,hlěb,hlěb,,m.,1,bread,v z j,,хлеб,хлеб,хліб,chleb,chléb,chlieb,!kruh,"kruh, hljeb",хлеб,леб,хляб,хлеб,Brot,brood,!pano,7524,!,
63,14594,hudožnik,hųdožnik,,m.anim.,2,artist,ru uk bg,,"художник, артист","мастак, артыст",художник,artysta,umělec,umelec,!umetnik,umjetnik,уметник,уметник,художник,!,Künstler,"kunstenaar, artiest",!artisto,7053,!,
64,2105,igla,igla,,f.,1,needle,,,игла,іголка,голка,igła,jehla,ihla,!igle,igla,игла,игла,игла,!,Nadel,naald,!kudrilo,5725,!,
65,2598,igra,igra,,f.,1,game,,,игра,гульня,гра,gra,hra,hra,!Igra,igra,игра,игра,игра,!,Spiel,spel,!ludo,8469,!,
66,21873,inostranec,#inostrånėc,,m.anim.,2,foreigner,ru sh,,иностранец,іншаземец,"іноземець, чужоземець","cudzoziemiec, obcokrajowiec",cizinec,cudzinec,"!tuj, inozemac, tujka","stranac, inozemac, tuđinac","странац, иноземац, туђин",странец,чужденец,!,!Ausländer,buitenlander,!fremdulo,4115,!,
67,7913,inozemec,#inozemėc,,m.anim.,1,foreigner,,,"иностранец, чужеземец","іншаземец, чужаземец, чужынец, іншакраінец, замежнік","іноземець, чужоземець","cudzoziemiec, obcokrajowiec",cizinec,cudzinec,"!tuj, inozemac, tujka","stranac, inozemac, tuđin","странац, иноземац, туђин",странец,чужденец,!,!Ausländer,buitenlander,!fremdulo,3860,!,
68,2503,Italija,Italija,,f.sg.,1,Italy,,,Италия,Італія,Італія,Włochy,Itálie,Taliansko,Italija,Italija,Италија,Италија,Италия,!,Italien,Italië,!Italio,7352,!,
69,15699,izmamitelj,izmamitelj,,m.anim.,5,defrauder,,,"обманщик, мошенник","падманшчык, махляр","шахрай, крутій, аферист","oszust, wyłudzacz",podvodník,podvodník,"!mamitelj, slepar, goljuf","obmanjivač, varalica, varatelj, prevarant","мамитељ, преварант, варалица",измамник,"измамник, мошеник",!,!Betrüger,"oplichter, fraudeur",!defrauder,2679,!,
70,5738,izmamnik,izmamnik,,m.anim.,2,defrauder,j,,"мошенник, жулик, обманщик","махляр, жулік, ашуканец","шахрай, крутій, аферист","oszust, wyłudzacz",podvodník,podvodník,"!mamitelj, slepar, Crook, tat","obmanjivač, varalica, varatelj, prevarant","мамитељ, варалица, преварант, лопов",измамник,"измамник, мошеник",!,!Betrüger,"oplichter, fraudeur",!defrauder,2631,!,
71,282,jabloko,jablȯko,,n.,1,apple,,,яблоко,яблык,яблуко,jabłko,jablko,jablko,jabolko,jabuka,јабука,јаболко,ябълка (плод),"аблъко, ꙗблъко",!Apfel,appel,pomo,6586,!,
72,26299,jar,jar,,m.,4,spring,pl cz sh,,весна,вясна,весна,wiosna,jaro,jar,!pomlad,proljeće,пролеће,пролет,пролет,!,!Frühling,"lente, voorjaar",!printempa,7365,!,
73,19762,jednorog,jednorog,,m.anim.,1,unicorn,,,единорог,аднарог,єдиноріг,jednorożec,jednorožec,jednorožec,!Samorog,jednorog,једнорог,еднорог,еднорог,!,Einhorn,eenhoorn,!unukornulo,5102,!,
74,2107,jedro,jędro,,n.,1,"nucleus, core",,,ядро,ядро,ядро,"jądro, rdzeń",jádro,jadro,!jedro,"jezgra, nukleus",језгро,јадро,ядро,!,Kern,kern,"!kerno, kerno",6332,!,
75,443,jesenj,jesenj,,f.,1,"autumn, fall",,,осень,восень,осінь,jesień,podzim,jeseň,jesen,jesen,јесен,есен,есен,!,Herbst,herfst,"!aŭtuno, aŭtuno",7104,!,
76,26388,jezdec,#jezdėc,,m.anim.,2,rider,v~ z sl,,"ездок, всадник, наездник","вершнік, наезнік","їздець, вершник",jeździec,jezdec,jazdec,"jezdec, jahač","jahač, konjanik","јахач, коњаник","коњаник, јавач",ездач,!,!Fahrer,ruiter,!rajdanto,4654,!,
77,2547,jezero,jezero,,n.,1,lake,,,озеро,возера,озеро,jezioro,jezero,jazero,jezero,jezero,језеро,езеро,езеро,ѥзеро,See,meer,!lago,7147,!,
78,846,jež,jež,,m.anim.,1,hedgehog,,,ёж,вожык,їжак,jeż,ježek,"ježko, jež",jež,jež,јеж,еж,таралеж,!,Igel,egel,!erinaco,4786,!,
79,34756,kaktus,kaktus,,m.,1,cactus,,I,кактус,кактус,кактус,kaktus,kaktus,kaktus,!kaktus,kaktus,кактус,кактус,кактус,!,Kaktus,cactus,!kakto,4625,!,
80,1313,kamenj,kamenj,,m.,1,stone,,,камень,камень,камінь,kamień,kámen,kameň,!kamen,kamen,камен,камен,камък,!,!Stein,steen,!ŝtono,8125,!,
81,2321,Kanada,Kanada,,f.sg.,1,Canada,,,Канада,Канада,Канада,Kanada,Kanada,Kanada,!Kanada,Kanada,Канада,Канада,Канада,Канада,!Kanada,Canada,!Kanado,7404,!,
82,36423,kapusta,kapusta,,f.,1,"cabbage, brassica",v z sl,,капуста,капуста,капуста,kapusta,zelí,kapusta,!zelje,"kupus, zelje",купус,зелка,зеле,!,"!Kohl, Brassica",kool,"!brasiko, Brassica",6121,!,
83,2426,karlik,karlik,,m.anim.,1,dwarf,,,карлик,карлік,карлик,"krasnal, karzeł",trpaslík,trpaslík,"!dwarf, midget","patuljak, kepec","патуљак, кепец",џуџе,"джудже (митолог.), малък човек (вежлив евфимизъм)",!,!Zwerg,dwerg,!nano,3855,!,
84,870,karp,karp,,m.anim.,1,carp,,,карп,карп,короп,karp,kapr,kapor,!krap,"šaran, krap",шаран,крап,шаран,!,!Karpfen,karper,!karpo,4884,!,
85,23239,karta,karta,,f.,1,card,,I,"карта, карточка","карта, картка","карта, картка",karta,karta,karta,!zemljevid,"karta, kartica",карта,карта,карта,!,!Karte,kaart,!karto,7072,!,
86,20406,kenguru,kenguru,,m.anim.,1,kangaroo,,I,кенгуру,кенгуру,кенгуру,kangur,klokan,"klokan, kengura",!kenguru,klokan,кенгур,кенгур,кенгуру,!,!Känguru,kangoeroe,!kanguruo,4381,!,
87,4795,kino,kino,,n.,1,cinema,,I,кино,кіно,кіно,kino,kino,kino,"!Film, kino",kino,"филм, кино",кино,кино,!,!Kino,bioscoop,!kinejo,7395,!,
88,4752,Kitaj,Kitaj,,m.sg.,1,China,,,Китай,Кітай,Китай,Chiny,Čína,Čína,!Kitajska,Kina,Кина,Кина,Китай,!,!China,China,!Ĉinio,7626,!,
89,26522,kladivo,kladivo,,n.,2,hammer,cs j,,"молоток, молот","малаток, молат","молоток, молот","młot, młotek",kladivo,kladivo,"!kladivo, kladivo, bat",čekić,"чекић, кладиво, бат","чекан, кладиво","чук, млат",!,!Hammer,hamer,!martelo,4538,!,
90,8462,klaviatura,klaviatura,,f.,1,keyboard,v z,I,клавиатура,клавіятура,клавіатура,klawiatura,klávesnice,klávesnica,!tipkovnica,"klavijatura, tastatura, tipkovnica",тастатура,"тастатура, клавијатура",клавиатура,!,!Tastatur,toetsenbord,!klavaro,4688,!,
91,1662,klěšče,klěšče,,f.pl.,1,"pliers, tongs",,,"клещи, щипцы","абцугі, кляшчы, шчыты, вільчыкі","кліщі, обценьки, щипці","szczypce, obcęgi",kleště,kliešte,"!klešče, klešče",kliješta,"кљешта, кљеште, клешта","клешти, маши",клещи,!,"!Zange, Zangen",tang,"!tenajlo, prenilo",3996,!,
92,4517,klětka,klětka,,f.,1,cell,,,клетка (биол.),клетка (біял.),клітина,"cela, komórka (biol.)",buňka,bunka,"!celice, kletka",stanica,"ћелија, крлетка","клет, ќелија",клетка,!,!Zelle,cel (anatomie),!ĉelo,5115,!,
93,2240,ključ,ključ,,m.,1,key,,,ключ,ключ,ключ,klucz,klíč,kľúč,!ključ,ključ,кључ,клуч,ключ,!,!Schlüssel,sleutel,!ŝlosilo,7928,!,
94,26570,klobuk,klobuk,,m.,2,hat,z yu,,шляпа,"капялюш, капялюх","капелюх, клобук",kapelusz,klobouk,klobúk,"!klobuk, klobuk","šešir, klobuk, kapelin","шешир, клобук","шапка, капа",шапка,!,!Hut,hoed,!ĉapelo,5101,!,
95,32136,kloun,kloun,,m.anim.,1,clown,,E,клоун,клоўн,клоун,klaun,klaun,klaun,!klovn,klaun,кловн,кловн,"клоун, смешник, шут",!,!Clown,clown,!klaŭno,5069,!,
96,1981,kniga,kniga,,f.,1,book,,,книга,кніга,книга,książka,kniha,kniha,!knjiga,knjiga,књига,книга,книга,!,!Buch,boek,!libro,8330,!,
97,8519,koledž,koledž,,m.,1,college,,E,колледж,каледж,коледж,koledż,kolej,internát,!kolegij,koledž,колеџ,колеџ,колеж,!,!Hochschule,college,!kolegio,6236,!,
98,2201,kolěno,kolěno,,n.,1,knee,,,колено,калена,коліно,kolano,koleno,koleno,!koleno,koljeno,колено,колено,коляно,!,!Knie,knie,!genuo,6434,!,
99,8518,koljce,koljce,,n.,3,ring,,,кольцо,"кальцо, кола, пярсцёнак",кільце,pierścień,prsten,prsteň,!obroč,prsten,прстен,прстен,пръстен,!,Ring,ring,!ringo,6950,!,
100,1332,kolo,kolo,(kola/kolese),n.,1,wheel,,,колесо,кола,колесо,koło,kolo,kolo,"!kolo, kolo",kotač,"точак, коло","тркало, коло",колело,!,!Rad,wiel,!rado,7366,!,
101,23427,kometa,kometa,,f.,1,comet,,I,комета,камета,комета,kometa,kometa,kométa,!komet,"komet, kometa",комета,комета,комета,!,!Komet,komeet,!kometo,5565,!,
102,8538,komin,komin,,m.,1,chimney,,,"камин, дымоход","камін, комін","димар, комин, димохід",komin,komín,komín,dimnik,dimnjak,"димњак, оџак","камин, оџак",комин,!,!Kamin,schoorsteen,!kamentubo,5111,!,
103,2913,korenj,korenj,,m.,1,root,,,корень,корань,корінь,korzeń,kořen,koreň,!Root,korijen,корен,корен,корен,!,!Wurzel,wortel,!radikon,6149,!,
104,857,korona,korona,,f.,1,crown,,I,корона,карона,корона,korona,koruna,koruna,!krona,kruna,круна,круна,корона,!,!Krone,kroon,!krono,6589,!,
105,26741,kosmonavt,kosmonavt,,m.anim.,1,cosmonaut,,I,космонавт,касманаўт,космонавт,kosmonauta,kosmonaut,kozmonaut,!astronavt,"astronaut, kozmonaut",космонаут,космонаут,космонавт,!,!Raumfahrer,kosmonaut,!kosmonaŭto,4628,!,
106,26746,kostka,kostka,,f.,1,"block, dice, cube",,,"игральная кость, кубик, дайс","ігральная костка, кубік, дайс","гральна кісточка, гральний кубик","klocek, kostka (do gry), sześcian",kostka,kocka,!Cube,kocka,коцка,коцка,кубче,!,"!Block, Würfel, Würfel","dobbelsteen, blokje","!bloko, ĵetkubo, kubo",4006,!,
107,5194,koš,koš,,m.,1,basket,,,корзина,"кош, кошык, карзіна",кошик,kosz,koš,kôš,!košara,"koš, košara",кош,"кошница, кош",кошница,!,!Korb,mand,!korbo,5885,!,
108,4794,košulja,košulja,,f.,1,shirt,,,"рубашка, рубаха, сорочка","кашуля, сарочка","сорочка, сорочина",koszula,košile,košeľa,!majica,košulja,кошуља,кошула,"риза, кошуля",!,!Hemd,overhemd,!ĉemizo,4988,!,
109,26763,kotka,kotka,,f.,,she-cat,,,кошка,"котка, кошка","кішка, киця",kotka,kočka,mačka,!mačka,mačka,мачка,мачка,котка,"котъ, кошька",!Kätzin,poes,!ŝi-kato,6922,!,
110,1380,kralj,krålj,,m.anim.,1,king,,,король,кароль,король,król,král,kráľ,!King,kralj,краљ,карл,крал,!,König,koning,reĝo,8261,!,
111,1600,krava,kråva,,f.,1,cow,v z j,,корова,карова,корова,krowa,kráva,krava,!krava,krava,крава,крава,крава,!,!Kuh,koe,bovino,6454,!,
112,6181,križ,križ,,m./f.,1,cross,,,крест,крыж,хрест,krzyż,kříž,kríž,!cross,križ,крст,крст,кръст,!,!Kreuz,kruis,kruco,7236,!,
113,5298,krokodil,krokodil,,m.anim.,1,crocodile,,I,крокодил,кракадзіл,крокодил,krokodyl,krokodýl,krokodíl,!krokodil,krokodil,крокодил,крокодил,крокодил,!,!Krokodil,krokodil,!krokodilo,5404,!,
114,23800,kust,kust,,m.,2,"bush, shrub",v,,"куст, кустарник","куст, хмыз, кустоўе, хмызняк",кущ,"krzak, krzew",keř,"ker, krík",!bush,"grm, žbun",жбун,"џбун, грмушка",храст,!,"!Busch, Strauch",struik,"!arbusto, arbedo",5059,!,
115,20879,lampa,lampa,,f.,1,lamp,,I,лампа,лямпа,лампа,lampa,lampa,lampa,!svetilka,"svjetiljka, lampa",лампа,"лампа, ламба, светилка",лампа,!,!Lampe,lamp,!lampo,5805,!,
116,23585,laser,laser,,m.,1,laser,,E,лазер,лазер,лазер,laser,laser,laser,!laser,laser,ласер,ласер,лазер,!,Laser,laser,!laseron,6313,!,
117,4269,lěčiljnja,lěčiljnja,,f.,1,hospital,,,"больница, госпиталь","бальніца, шпіталь","лікарня, шпиталь",szpital,nemocnice,nemocnica,bolnišnica,"bolnica, špital",болница,болница,болница,!,!Krankenhaus,ziekenhuis,!malsanulejo,6585,!,
118,2729,led,led,,m.sg.,1,ice,,,лёд,лёд,"лід, крига",lód,led,ľad,led,led,лед,"мраз, лед",лед,!,!Eis,ijs,!glacio,7296,!,
119,2651,lěs,lěs,,m.,1,"forest, wood",,,лес,лес,ліс,las,les,les,"gozd, les","šuma, drveće, drvo","шума, дрвеће, лес (арх.)",шума,"гора, дърво",!,"!Wald, Holz",bos,"!arbaro, ligno",7554,!,
